Date,Open,High,Low,Close,Adj Close,Volume
20-Sep-22,3.3285,3.3877,3.2896,3.3722,3.3722,35770
19-Sep-22,3.1878,3.324,3.1304,3.3108,3.3108,42236
16-Sep-22,3.2096,3.2699,3.1573,3.1725,3.1725,37212
15-Sep-22,3.379,3.3968,3.145,3.2052,3.2052,62834
14-Sep-22,3.5529,3.5558,3.3256,3.3789,3.3789,63772
13-Sep-22,3.6097,3.6596,3.485,3.5413,3.5413,44051
12-Sep-22,3.5743,3.705,3.5589,3.6031,3.6031,40971
9-Sep-22,3.5366,3.6108,3.5201,3.5787,3.5787,40462
8-Sep-22,3.5615,3.6057,3.4826,3.5401,3.5401,43433
7-Sep-22,3.5738,3.6234,3.4959,3.586,3.586,40898
6-Sep-22,3.5825,3.7771,3.5375,3.5738,3.5738,50463
2-Sep-22,3.5575,3.6827,3.5172,3.578,3.578,53551
1-Sep-22,3.6511,3.653,3.4433,3.5612,3.5612,56105
31-Aug-22,3.8312,3.8313,3.6946,3.7154,3.7154,40514
30-Aug-22,3.929,3.9531,3.722,3.8171,3.8171,13438
29-Aug-22,3.9975,4.0232,3.8774,3.9099,3.9099,12314
26-Aug-22,3.9596,4.0403,3.9491,4.0076,4.0076,17889
25-Aug-22,4.0354,4.1154,3.9364,3.9491,3.9491,21594
24-Aug-22,3.8392,4.0381,3.8101,4.0132,4.0132,27376
23-Aug-22,3.772,3.868,3.752,3.8419,3.8419,20042
22-Aug-22,3.696,3.7835,3.6489,3.7762,3.7762,22838
19-Aug-22,3.6551,3.7391,3.5662,3.7005,3.7005,26958
18-Aug-22,3.6085,3.6874,3.5817,3.6497,3.6497,33674
17-Aug-22,3.4802,3.6213,3.4528,3.6174,3.6174,39637
16-Aug-22,3.4276,3.5085,3.4194,3.4802,3.4802,30621
15-Aug-22,3.51,3.5337,3.3752,3.4403,3.4403,33218
12-Aug-22,3.4891,3.55,3.4521,3.5178,3.5178,33596
11-Aug-22,3.4061,3.5262,3.3893,3.484,3.484,38509
10-Aug-22,3.3319,3.4344,3.2458,3.4103,3.4103,37596
9-Aug-22,3.1913,3.3545,3.1812,3.3338,3.3338,46657
8-Aug-22,3.2065,3.2329,3.1424,3.1791,3.1791,46773
5-Aug-22,3.2933,3.329,3.1805,3.2159,3.2159,50468
4-Aug-22,3.4248,3.4548,3.2813,3.3372,3.3372,42177
3-Aug-22,3.3769,3.5055,3.3414,3.4148,3.4148,37243
2-Aug-22,3.4365,3.4533,3.33,3.3804,3.3804,37775
1-Aug-22,3.5422,3.5584,3.4017,3.44,3.44,45469
29-Jul-22,3.71,3.7858,3.6043,3.6247,3.6247,41356
28-Jul-22,3.7291,3.8063,3.64,3.6863,3.6863,13434
27-Jul-22,3.5897,3.7423,3.5581,3.7173,3.7173,17007
26-Jul-22,3.5129,3.6148,3.501,3.5839,3.5839,21324
25-Jul-22,3.47,3.5647,3.3949,3.5166,3.5166,26383
22-Jul-22,3.591,3.6622,3.4329,3.4556,3.4556,26011
21-Jul-22,3.627,3.6289,3.4234,3.5903,3.5903,26669
20-Jul-22,3.6308,3.6631,3.5205,3.6043,3.6043,23310
19-Jul-22,3.6338,3.6662,3.5082,3.6268,3.6268,28552
18-Jul-22,3.6997,3.7577,3.6177,3.6555,3.6555,33674
15-Jul-22,3.6725,3.7465,3.5926,3.699,3.699,28181
14-Jul-22,3.6794,3.7195,3.5006,3.6494,3.6494,36524
13-Jul-22,3.6521,3.7602,3.6018,3.6659,3.6659,36433
12-Jul-22,3.7659,3.7815,3.5861,3.6626,3.6626,34843
11-Jul-22,3.6447,3.803,3.6274,3.7681,3.7681,38693
8-Jul-22,3.67,3.7042,3.5411,3.6729,3.6729,41958
7-Jul-22,3.4296,3.7086,3.3701,3.6739,3.6739,49721
6-Jul-22,3.584,3.662,3.351,3.4106,3.4106,54579
5-Jul-22,3.952,3.9851,3.566,3.6016,3.6016,62253
